movie,year,imdb,metascore,votes,n_imdb
The Chronicles of Narnia: Prince Caspian,2008,6.50,62,193526,65
You Don't Mess with the Zohan,2008,5.50,54,190197,55
The Dark Knight,2008,9.00,84,2288865,90
WALL·E,2008,8.40,95,993546,84
Iron Man,2008,7.90,79,934572,79
Slumdog Millionaire,2008,8.00,84,795737,80
Gran Torino,2008,8.10,72,717426,81
The Curious Case of Benjamin Button,2008,7.80,70,585683,78
Taken,2008,7.80,51,563186,78
Hancock,2008,6.40,49,443065,64
The Incredible Hulk,2008,6.70,61,431793,67
Twilight,2008,5.20,56,425064,52
Indiana Jones and the Kingdom of the Crystal Skull,2008,6.10,65,423620,61
The Hurt Locker,2008,7.50,95,419756,75
Kung Fu Panda,2008,7.50,74,417410,75
Quantum of Solace,2008,6.60,58,403980,66
In Bruges,2008,7.90,67,388931,79
Tropic Thunder,2008,7.00,71,376223,70
Cloverfield,2008,7.00,64,371718,70
Wanted,2008,6.70,64,358896,67
Yes Man,2008,6.80,46,334294,68
Pineapple Express,2008,6.90,64,315073,69
Burn After Reading,2008,7.00,63,308572,70
The Wrestler,2008,7.90,80,288700,79
Jumper,2008,6.10,35,285778,61
Seven Pounds,2008,7.60,36,285734,76
Step Brothers,2008,6.90,51,267065,69
Forgetting Sarah Marshall,2008,7.10,67,263134,71
Hellboy II: The Golden Army,2008,7.00,78,254856,70
Vicky Cristina Barcelona,2008,7.10,70,241619,71
Changeling,2008,7.70,63,238182,77
RocknRolla,2008,7.30,53,235045,73
The Reader,2008,7.60,58,229673,76
21,2008,6.80,48,228638,68
Valkyrie,2008,7.10,56,227765,71
Role Models,2008,6.80,61,219520,68
Rambo,2008,7.00,46,217428,70
Mamma Mia!,2008,6.40,51,214782,64
Body of Lies,2008,7.10,57,212718,71
Ip Man,2008,8.00,59,210628,80
Let the Right One In,2008,7.90,82,205073,79
Madagascar: Escape 2 Africa,2008,6.60,61,204407,66
Get Smart,2008,6.50,54,203369,65
Death Race,2008,6.40,43,197255,64
Revolutionary Road,2008,7.30,69,195926,73
The Happening,2008,5.00,34,195149,50
The Chronicles of Narnia: Prince Caspian,2008,6.50,62,193526,65
You Don't Mess with the Zohan,2008,5.50,54,190197,55
The Dark Knight,2008,9.00,84,2288865,90
WALL·E,2008,8.40,95,993546,84
Iron Man,2008,7.90,79,934572,79
Slumdog Millionaire,2008,8.00,84,795737,80
Gran Torino,2008,8.10,72,717426,81
The Curious Case of Benjamin Button,2008,7.80,70,585683,78
Taken,2008,7.80,51,563186,78
Hancock,2008,6.40,49,443065,64
The Incredible Hulk,2008,6.70,61,431793,67
Twilight,2008,5.20,56,425064,52
Indiana Jones and the Kingdom of the Crystal Skull,2008,6.10,65,423620,61
The Hurt Locker,2008,7.50,95,419756,75
Kung Fu Panda,2008,7.50,74,417410,75
Quantum of Solace,2008,6.60,58,403980,66
In Bruges,2008,7.90,67,388931,79
Tropic Thunder,2008,7.00,71,376223,70
Cloverfield,2008,7.00,64,371718,70
Wanted,2008,6.70,64,358896,67
Yes Man,2008,6.80,46,334294,68
Pineapple Express,2008,6.90,64,315073,69
Burn After Reading,2008,7.00,63,308572,70
The Wrestler,2008,7.90,80,288700,79
Jumper,2008,6.10,35,285778,61
Seven Pounds,2008,7.60,36,285734,76
Step Brothers,2008,6.90,51,267065,69
Forgetting Sarah Marshall,2008,7.10,67,263134,71
Hellboy II: The Golden Army,2008,7.00,78,254856,70
Vicky Cristina Barcelona,2008,7.10,70,241619,71
Changeling,2008,7.70,63,238182,77
RocknRolla,2008,7.30,53,235045,73
The Reader,2008,7.60,58,229673,76
21,2008,6.80,48,228638,68
Valkyrie,2008,7.10,56,227765,71
Role Models,2008,6.80,61,219520,68
Rambo,2008,7.00,46,217428,70
Mamma Mia!,2008,6.40,51,214782,64
Body of Lies,2008,7.10,57,212718,71
Ip Man,2008,8.00,59,210628,80
Let the Right One In,2008,7.90,82,205073,79
Madagascar: Escape 2 Africa,2008,6.60,61,204407,66
Get Smart,2008,6.50,54,203369,65
Death Race,2008,6.40,43,197255,64
Revolutionary Road,2008,7.30,69,195926,73
The Happening,2008,5.00,34,195149,50
The Chronicles of Narnia: Prince Caspian,2008,6.50,62,193526,65
You Don't Mess with the Zohan,2008,5.50,54,190197,55
The Dark Knight,2008,9.00,84,2288865,90
WALL·E,2008,8.40,95,993546,84
Iron Man,2008,7.90,79,934572,79
Slumdog Millionaire,2008,8.00,84,795737,80
Gran Torino,2008,8.10,72,717426,81
The Curious Case of Benjamin Button,2008,7.80,70,585683,78
Taken,2008,7.80,51,563186,78
Hancock,2008,6.40,49,443065,64
The Incredible Hulk,2008,6.70,61,431793,67
Twilight,2008,5.20,56,425064,52
Indiana Jones and the Kingdom of the Crystal Skull,2008,6.10,65,423620,61
The Hurt Locker,2008,7.50,95,419756,75
Kung Fu Panda,2008,7.50,74,417410,75
Quantum of Solace,2008,6.60,58,403980,66
In Bruges,2008,7.90,67,388931,79
Tropic Thunder,2008,7.00,71,376223,70
Cloverfield,2008,7.00,64,371718,70
Wanted,2008,6.70,64,358896,67
Yes Man,2008,6.80,46,334294,68
Pineapple Express,2008,6.90,64,315073,69
Burn After Reading,2008,7.00,63,308572,70
The Wrestler,2008,7.90,80,288700,79
Jumper,2008,6.10,35,285778,61
Seven Pounds,2008,7.60,36,285734,76
Step Brothers,2008,6.90,51,267065,69
Forgetting Sarah Marshall,2008,7.10,67,263134,71
Hellboy II: The Golden Army,2008,7.00,78,254856,70
Vicky Cristina Barcelona,2008,7.10,70,241619,71
Changeling,2008,7.70,63,238182,77
RocknRolla,2008,7.30,53,235045,73
The Reader,2008,7.60,58,229673,76
21,2008,6.80,48,228638,68
Valkyrie,2008,7.10,56,227765,71
Role Models,2008,6.80,61,219520,68
Rambo,2008,7.00,46,217428,70
Mamma Mia!,2008,6.40,51,214782,64
Body of Lies,2008,7.10,57,212718,71
Ip Man,2008,8.00,59,210628,80
Let the Right One In,2008,7.90,82,205073,79
Madagascar: Escape 2 Africa,2008,6.60,61,204407,66
Get Smart,2008,6.50,54,203369,65
Death Race,2008,6.40,43,197255,64
Revolutionary Road,2008,7.30,69,195926,73
The Happening,2008,5.00,34,195149,50
The Chronicles of Narnia: Prince Caspian,2008,6.50,62,193526,65
You Don't Mess with the Zohan,2008,5.50,54,190197,55
Inglourious Basterds,2009,8.30,69,1258305,83
Avatar,2009,7.80,83,1114694,78
Up,2009,8.20,88,929564,82
The Hangover,2009,7.70,73,714810,77
District 9,2009,7.90,81,636496,79
Sherlock Holmes,2009,7.60,57,580809,76
Star Trek,2009,7.90,82,575955,79
Zombieland,2009,7.60,73,518064,76
Watchmen,2009,7.60,56,498795,76
Harry Potter and the Half-Blood Prince,2009,7.60,78,470758,76
500 Days of Summer,2009,7.70,76,470413,77
X-Men Origins: Wolverine,2009,6.60,40,465528,66
Transformers: Revenge of the Fallen,2009,6.00,35,382814,60
2012,2009,5.80,49,351803,58
Terminator Salvation,2009,6.50,49,342681,65
3 Idiots,2009,8.40,67,341693,84
Moon,2009,7.90,67,333944,79
Up in the Air,2009,7.40,83,317617,74
The Proposal,2009,6.70,48,294359,67
The Blind Side,2009,7.60,53,291523,76
Public Enemies,2009,7.00,70,281318,70
Angels & Demons,2009,6.70,48,272203,67
Law Abiding Citizen,2009,7.40,34,270416,74
The Twilight Saga: New Moon,2009,4.70,44,264781,47
Fast & Furious,2009,6.60,46,261600,66
Ice Age: Dawn of the Dinosaurs,2009,6.90,50,222884,69
The Road,2009,7.20,64,222620,72
Knowing,2009,6.20,41,219805,62
Mr. Nobody,2009,7.80,63,215356,78
The Girl with the Dragon Tattoo,2009,7.80,76,208318,78
Cloudy with a Chance of Meatballs,2009,6.90,66,204041,69
The Ugly Truth,2009,6.40,28,203847,64
G.I. Joe: The Rise of Cobra,2009,5.80,32,198588,58
Fantastic Mr. Fox,2009,7.90,83,197596,79
Coraline,2009,7.70,80,196714,77
"I Love You, Man",2009,7.00,70,193419,70
The Secret in Their Eyes,2009,8.20,80,191910,82
Orphan,2009,6.90,42,190141,69
Drag Me to Hell,2009,6.50,83,187481,65
The Taking of Pelham 123,2009,6.40,55,185437,64
17 Again,2009,6.30,48,178707,63
Night at the Museum: Battle of the Smithsonian,2009,6.00,42,176552,60
Surrogates,2009,6.30,45,168532,63
He's Just Not That Into You,2009,6.40,47,161662,64
Inglourious Basterds,2009,8.30,69,1258305,83
Avatar,2009,7.80,83,1114694,78
Up,2009,8.20,88,929564,82
The Hangover,2009,7.70,73,714810,77
District 9,2009,7.90,81,636496,79
Sherlock Holmes,2009,7.60,57,580809,76
Star Trek,2009,7.90,82,575955,79
Zombieland,2009,7.60,73,518064,76
Watchmen,2009,7.60,56,498795,76
Harry Potter and the Half-Blood Prince,2009,7.60,78,470758,76
500 Days of Summer,2009,7.70,76,470413,77
X-Men Origins: Wolverine,2009,6.60,40,465528,66
Transformers: Revenge of the Fallen,2009,6.00,35,382814,60
2012,2009,5.80,49,351803,58
Terminator Salvation,2009,6.50,49,342681,65
3 Idiots,2009,8.40,67,341693,84
Moon,2009,7.90,67,333944,79
Up in the Air,2009,7.40,83,317617,74
The Proposal,2009,6.70,48,294359,67
The Blind Side,2009,7.60,53,291523,76
Public Enemies,2009,7.00,70,281318,70
Angels & Demons,2009,6.70,48,272203,67
Law Abiding Citizen,2009,7.40,34,270416,74
The Twilight Saga: New Moon,2009,4.70,44,264781,47
Fast & Furious,2009,6.60,46,261600,66
Ice Age: Dawn of the Dinosaurs,2009,6.90,50,222884,69
The Road,2009,7.20,64,222620,72
Knowing,2009,6.20,41,219805,62
Mr. Nobody,2009,7.80,63,215356,78
The Girl with the Dragon Tattoo,2009,7.80,76,208318,78
Cloudy with a Chance of Meatballs,2009,6.90,66,204041,69
The Ugly Truth,2009,6.40,28,203847,64
G.I. Joe: The Rise of Cobra,2009,5.80,32,198588,58
Fantastic Mr. Fox,2009,7.90,83,197596,79
Coraline,2009,7.70,80,196714,77
"I Love You, Man",2009,7.00,70,193419,70
The Secret in Their Eyes,2009,8.20,80,191910,82
Orphan,2009,6.90,42,190141,69
Drag Me to Hell,2009,6.50,83,187481,65
The Taking of Pelham 123,2009,6.40,55,185437,64
17 Again,2009,6.30,48,178707,63
Night at the Museum: Battle of the Smithsonian,2009,6.00,42,176552,60
Surrogates,2009,6.30,45,168532,63
He's Just Not That Into You,2009,6.40,47,161662,64
Inglourious Basterds,2009,8.30,69,1258305,83
Avatar,2009,7.80,83,1114694,78
Up,2009,8.20,88,929564,82
The Hangover,2009,7.70,73,714810,77
District 9,2009,7.90,81,636496,79
Sherlock Holmes,2009,7.60,57,580809,76
Star Trek,2009,7.90,82,575955,79
Zombieland,2009,7.60,73,518064,76
Watchmen,2009,7.60,56,498795,76
Harry Potter and the Half-Blood Prince,2009,7.60,78,470758,76
500 Days of Summer,2009,7.70,76,470413,77
X-Men Origins: Wolverine,2009,6.60,40,465528,66
Transformers: Revenge of the Fallen,2009,6.00,35,382814,60
2012,2009,5.80,49,351803,58
Terminator Salvation,2009,6.50,49,342681,65
3 Idiots,2009,8.40,67,341693,84
Moon,2009,7.90,67,333944,79
Up in the Air,2009,7.40,83,317617,74
The Proposal,2009,6.70,48,294359,67
The Blind Side,2009,7.60,53,291523,76
Public Enemies,2009,7.00,70,281318,70
Angels & Demons,2009,6.70,48,272203,67
Law Abiding Citizen,2009,7.40,34,270416,74
The Twilight Saga: New Moon,2009,4.70,44,264781,47
Fast & Furious,2009,6.60,46,261600,66
Ice Age: Dawn of the Dinosaurs,2009,6.90,50,222884,69
The Road,2009,7.20,64,222620,72
Knowing,2009,6.20,41,219805,62
Mr. Nobody,2009,7.80,63,215356,78
The Girl with the Dragon Tattoo,2009,7.80,76,208318,78
Cloudy with a Chance of Meatballs,2009,6.90,66,204041,69
The Ugly Truth,2009,6.40,28,203847,64
G.I. Joe: The Rise of Cobra,2009,5.80,32,198588,58
Fantastic Mr. Fox,2009,7.90,83,197596,79
Coraline,2009,7.70,80,196714,77
"I Love You, Man",2009,7.00,70,193419,70
The Secret in Their Eyes,2009,8.20,80,191910,82
Orphan,2009,6.90,42,190141,69
Drag Me to Hell,2009,6.50,83,187481,65
The Taking of Pelham 123,2009,6.40,55,185437,64
17 Again,2009,6.30,48,178707,63
Night at the Museum: Battle of the Smithsonian,2009,6.00,42,176552,60
Surrogates,2009,6.30,45,168532,63
He's Just Not That Into You,2009,6.40,47,161662,64
Inglourious Basterds,2009,8.30,69,1258305,83
Avatar,2009,7.80,83,1114694,78
Up,2009,8.20,88,929564,82
The Hangover,2009,7.70,73,714810,77
District 9,2009,7.90,81,636496,79
Sherlock Holmes,2009,7.60,57,580809,76
Star Trek,2009,7.90,82,575955,79
Zombieland,2009,7.60,73,518064,76
Watchmen,2009,7.60,56,498795,76
Harry Potter and the Half-Blood Prince,2009,7.60,78,470758,76
500 Days of Summer,2009,7.70,76,470413,77
X-Men Origins: Wolverine,2009,6.60,40,465528,66
Transformers: Revenge of the Fallen,2009,6.00,35,382814,60
2012,2009,5.80,49,351803,58
Terminator Salvation,2009,6.50,49,342681,65
3 Idiots,2009,8.40,67,341693,84
Moon,2009,7.90,67,333944,79
Up in the Air,2009,7.40,83,317617,74
The Proposal,2009,6.70,48,294359,67
The Blind Side,2009,7.60,53,291523,76
Public Enemies,2009,7.00,70,281318,70
Angels & Demons,2009,6.70,48,272203,67
Law Abiding Citizen,2009,7.40,34,270416,74
The Twilight Saga: New Moon,2009,4.70,44,264781,47
Fast & Furious,2009,6.60,46,261600,66
Ice Age: Dawn of the Dinosaurs,2009,6.90,50,222884,69
The Road,2009,7.20,64,222620,72
Knowing,2009,6.20,41,219805,62
Mr. Nobody,2009,7.80,63,215356,78
The Girl with the Dragon Tattoo,2009,7.80,76,208318,78
Cloudy with a Chance of Meatballs,2009,6.90,66,204041,69
The Ugly Truth,2009,6.40,28,203847,64
G.I. Joe: The Rise of Cobra,2009,5.80,32,198588,58
Fantastic Mr. Fox,2009,7.90,83,197596,79
Coraline,2009,7.70,80,196714,77
"I Love You, Man",2009,7.00,70,193419,70
The Secret in Their Eyes,2009,8.20,80,191910,82
Orphan,2009,6.90,42,190141,69
Drag Me to Hell,2009,6.50,83,187481,65
The Taking of Pelham 123,2009,6.40,55,185437,64
17 Again,2009,6.30,48,178707,63
Night at the Museum: Battle of the Smithsonian,2009,6.00,42,176552,60
Surrogates,2009,6.30,45,168532,63
He's Just Not That Into You,2009,6.40,47,161662,64
Inception,2010,8.80,74,2052517,88
Shutter Island,2010,8.20,63,1121298,82
Toy Story 3,2010,8.30,92,753008,83
Iron Man 2,2010,7.00,57,718178,70
Black Swan,2010,8.00,79,696277,80
How to Train Your Dragon,2010,8.10,75,663070,81
The King's Speech,2010,8.00,88,636803,80
The Social Network,2010,7.70,95,621041,77
Kick-Ass,2010,7.60,66,522738,76
Despicable Me,2010,7.60,72,498528,76
Harry Potter and the Deathly Hallows: Part 1,2010,7.70,65,475159,77
Tangled,2010,7.70,71,403614,77
Alice in Wonderland,2010,6.40,53,382480,64
Scott Pilgrim vs. the World,2010,7.50,69,376597,75
Easy A,2010,7.00,72,357556,70
The Town,2010,7.50,74,351053,75
127 Hours,2010,7.50,82,346583,75
The Fighter,2010,7.80,79,338949,78
The Expendables,2010,6.50,45,324763,65
Due Date,2010,6.50,51,322972,65
TRON: Legacy,2010,6.80,49,312341,68
True Grit,2010,7.60,80,310266,76
Salt,2010,6.40,65,294401,64
The Book of Eli,2010,6.90,53,292246,69
RED,2010,7.00,60,288273,70
Insidious,2010,6.80,52,277572,68
Prince of Persia: The Sands of Time,2010,6.60,50,270894,66
Clash of the Titans,2010,5.80,39,269670,58
Robin Hood,2010,6.60,53,252355,66
The A-Team,2010,6.70,47,245147,67
The Other Guys,2010,6.60,64,241828,66
Grown Ups,2010,5.90,30,227412,59
Megamind,2010,7.20,63,227366,72
The Twilight Saga: Eclipse,2010,5.00,58,227129,50
The Tourist,2010,6.00,37,223388,60
Predators,2010,6.40,51,211054,64
Machete,2010,6.60,60,189748,66
Unstoppable,2010,6.80,69,184107,68
Shrek Forever After,2010,6.30,58,183652,63
Blue Valentine,2010,7.40,81,183426,74
The Next Three Days,2010,7.40,52,181729,74
Love & Other Drugs,2010,6.70,55,180090,67
Knight and Day,2010,6.30,46,179566,63
Percy Jackson & the Olympians: The Lightning Thief,2010,5.90,47,176502,59
Get Him to the Greek,2010,6.40,65,169378,64
Tucker and Dale vs Evil,2010,7.50,65,164845,75
Inception,2010,8.80,74,2052517,88
Shutter Island,2010,8.20,63,1121298,82
Toy Story 3,2010,8.30,92,753008,83
Iron Man 2,2010,7.00,57,718178,70
Black Swan,2010,8.00,79,696277,80
How to Train Your Dragon,2010,8.10,75,663070,81
The King's Speech,2010,8.00,88,636803,80
The Social Network,2010,7.70,95,621041,77
Kick-Ass,2010,7.60,66,522738,76
Despicable Me,2010,7.60,72,498528,76
Harry Potter and the Deathly Hallows: Part 1,2010,7.70,65,475159,77
Tangled,2010,7.70,71,403614,77
Alice in Wonderland,2010,6.40,53,382480,64
Scott Pilgrim vs. the World,2010,7.50,69,376597,75
Easy A,2010,7.00,72,357556,70
The Town,2010,7.50,74,351053,75
127 Hours,2010,7.50,82,346583,75
The Fighter,2010,7.80,79,338949,78
The Expendables,2010,6.50,45,324763,65
Due Date,2010,6.50,51,322972,65
TRON: Legacy,2010,6.80,49,312341,68
True Grit,2010,7.60,80,310266,76
Salt,2010,6.40,65,294401,64
The Book of Eli,2010,6.90,53,292246,69
RED,2010,7.00,60,288273,70
Insidious,2010,6.80,52,277572,68
Prince of Persia: The Sands of Time,2010,6.60,50,270894,66
Clash of the Titans,2010,5.80,39,269670,58
Robin Hood,2010,6.60,53,252355,66
The A-Team,2010,6.70,47,245147,67
The Other Guys,2010,6.60,64,241828,66
Grown Ups,2010,5.90,30,227412,59
Megamind,2010,7.20,63,227366,72
The Twilight Saga: Eclipse,2010,5.00,58,227129,50
The Tourist,2010,6.00,37,223388,60
Predators,2010,6.40,51,211054,64
Machete,2010,6.60,60,189748,66
Unstoppable,2010,6.80,69,184107,68
Shrek Forever After,2010,6.30,58,183652,63
Blue Valentine,2010,7.40,81,183426,74
The Next Three Days,2010,7.40,52,181729,74
Love & Other Drugs,2010,6.70,55,180090,67
Knight and Day,2010,6.30,46,179566,63
Percy Jackson & the Olympians: The Lightning Thief,2010,5.90,47,176502,59
Get Him to the Greek,2010,6.40,65,169378,64
Tucker and Dale vs Evil,2010,7.50,65,164845,75
Inception,2010,8.80,74,2052517,88
Shutter Island,2010,8.20,63,1121298,82
Toy Story 3,2010,8.30,92,753008,83
Iron Man 2,2010,7.00,57,718178,70
Black Swan,2010,8.00,79,696277,80
How to Train Your Dragon,2010,8.10,75,663070,81
The King's Speech,2010,8.00,88,636803,80
The Social Network,2010,7.70,95,621041,77
Kick-Ass,2010,7.60,66,522738,76
Despicable Me,2010,7.60,72,498528,76
Harry Potter and the Deathly Hallows: Part 1,2010,7.70,65,475159,77
Tangled,2010,7.70,71,403614,77
Alice in Wonderland,2010,6.40,53,382480,64
Scott Pilgrim vs. the World,2010,7.50,69,376597,75
Easy A,2010,7.00,72,357556,70
The Town,2010,7.50,74,351053,75
127 Hours,2010,7.50,82,346583,75
The Fighter,2010,7.80,79,338949,78
The Expendables,2010,6.50,45,324763,65
Due Date,2010,6.50,51,322972,65
TRON: Legacy,2010,6.80,49,312341,68
True Grit,2010,7.60,80,310266,76
Salt,2010,6.40,65,294401,64
The Book of Eli,2010,6.90,53,292246,69
RED,2010,7.00,60,288273,70
Insidious,2010,6.80,52,277572,68
Prince of Persia: The Sands of Time,2010,6.60,50,270894,66
Clash of the Titans,2010,5.80,39,269670,58
Robin Hood,2010,6.60,53,252355,66
The A-Team,2010,6.70,47,245147,67
The Other Guys,2010,6.60,64,241828,66
Grown Ups,2010,5.90,30,227412,59
Megamind,2010,7.20,63,227366,72
The Twilight Saga: Eclipse,2010,5.00,58,227129,50
The Tourist,2010,6.00,37,223388,60
Predators,2010,6.40,51,211054,64
Machete,2010,6.60,60,189748,66
Unstoppable,2010,6.80,69,184107,68
Shrek Forever After,2010,6.30,58,183652,63
Blue Valentine,2010,7.40,81,183426,74
The Next Three Days,2010,7.40,52,181729,74
Love & Other Drugs,2010,6.70,55,180090,67
Knight and Day,2010,6.30,46,179566,63
Percy Jackson & the Olympians: The Lightning Thief,2010,5.90,47,176502,59
Get Him to the Greek,2010,6.40,65,169378,64
Tucker and Dale vs Evil,2010,7.50,65,164845,75
Inception,2010,8.80,74,2052517,88
Shutter Island,2010,8.20,63,1121298,82
Toy Story 3,2010,8.30,92,753008,83
Iron Man 2,2010,7.00,57,718178,70
Black Swan,2010,8.00,79,696277,80
How to Train Your Dragon,2010,8.10,75,663070,81
The King's Speech,2010,8.00,88,636803,80
The Social Network,2010,7.70,95,621041,77
Kick-Ass,2010,7.60,66,522738,76
Despicable Me,2010,7.60,72,498528,76
Harry Potter and the Deathly Hallows: Part 1,2010,7.70,65,475159,77
Tangled,2010,7.70,71,403614,77
Alice in Wonderland,2010,6.40,53,382480,64
Scott Pilgrim vs. the World,2010,7.50,69,376597,75
Easy A,2010,7.00,72,357556,70
The Town,2010,7.50,74,351053,75
127 Hours,2010,7.50,82,346583,75
The Fighter,2010,7.80,79,338949,78
The Expendables,2010,6.50,45,324763,65
Due Date,2010,6.50,51,322972,65
TRON: Legacy,2010,6.80,49,312341,68
True Grit,2010,7.60,80,310266,76
Salt,2010,6.40,65,294401,64
The Book of Eli,2010,6.90,53,292246,69
RED,2010,7.00,60,288273,70
Insidious,2010,6.80,52,277572,68
Prince of Persia: The Sands of Time,2010,6.60,50,270894,66
Clash of the Titans,2010,5.80,39,269670,58
Robin Hood,2010,6.60,53,252355,66
The A-Team,2010,6.70,47,245147,67
The Other Guys,2010,6.60,64,241828,66
Grown Ups,2010,5.90,30,227412,59
Megamind,2010,7.20,63,227366,72
The Twilight Saga: Eclipse,2010,5.00,58,227129,50
The Tourist,2010,6.00,37,223388,60
Predators,2010,6.40,51,211054,64
Machete,2010,6.60,60,189748,66
Unstoppable,2010,6.80,69,184107,68
Shrek Forever After,2010,6.30,58,183652,63
Blue Valentine,2010,7.40,81,183426,74
The Next Three Days,2010,7.40,52,181729,74
Love & Other Drugs,2010,6.70,55,180090,67
Knight and Day,2010,6.30,46,179566,63
Percy Jackson & the Olympians: The Lightning Thief,2010,5.90,47,176502,59
Get Him to the Greek,2010,6.40,65,169378,64
Tucker and Dale vs Evil,2010,7.50,65,164845,75
Harry Potter and the Deathly Hallows: Part 2,2011,8.10,85,759015,81
The Intouchables,2011,8.50,57,753301,85
Thor,2011,7.00,57,742951,70
Captain America: The First Avenger,2011,6.90,66,735862,69
X: First Class,2011,7.70,65,643584,77
Drive,2011,7.80,78,568235,78
Limitless,2011,7.40,59,525116,74
Rise of the Planet of the Apes,2011,7.60,68,494534,76
Source Code,2011,7.50,74,482714,75
Pirates of the Caribbean: On Stranger Tides,2011,6.60,45,479111,66
"Crazy, Stupid, Love.",2011,7.40,68,469994,74
The Hangover Part II,2011,6.50,44,462181,65
Mission: Impossible - Ghost Protocol,2011,7.40,73,455645,74
Warrior,2011,8.20,71,433974,82
The Help,2011,8.00,62,425977,80
Horrible Bosses,2011,6.90,57,420555,69
Sherlock Holmes: A Game of Shadows,2011,7.50,48,419239,75
The Girl with the Dragon Tattoo,2011,7.80,71,419227,78
Midnight in Paris,2011,7.70,81,386214,77
Transformers: Dark of the Moon,2011,6.20,42,383421,62
The Cabin in the Woods,2011,7.00,72,375160,70
In Time,2011,6.70,53,368653,67
Moneyball,2011,7.60,87,366877,76
Fast Five,2011,7.30,66,351214,73
Friends with Benefits,2011,6.50,63,338783,65
Super 8,2011,7.00,72,337619,70
50/50,2011,7.60,72,314651,76
Hugo,2011,7.50,83,303857,75
Real Steel,2011,7.10,56,297316,71
Contagion,2011,6.70,70,280316,67
Bridesmaids,2011,6.80,75,267085,68
Green Lantern,2011,5.50,39,265983,55
Kung Fu Panda 2,2011,7.20,67,252434,72
Unknown,2011,6.80,56,247213,68
The Adjustment Bureau,2011,7.00,60,243242,70
The Grey,2011,6.80,64,239861,68
Rango,2011,7.20,75,235319,72
Paul,2011,7.00,57,234258,70
The Descendants,2011,7.30,84,232107,73
The Artist,2011,7.90,89,229832,79
Sucker Punch,2011,6.00,33,229397,60
I Am Number Four,2011,6.10,36,226897,61
The Twilight Saga: Breaking Dawn - Part 1,2011,4.90,45,223091,49
Just Go with It,2011,6.40,33,220484,64
A Separation,2011,8.30,95,218522,83
Harry Potter and the Deathly Hallows: Part 2,2011,8.10,85,759015,81
The Intouchables,2011,8.50,57,753301,85
Thor,2011,7.00,57,742951,70
Captain America: The First Avenger,2011,6.90,66,735862,69
X: First Class,2011,7.70,65,643584,77
Drive,2011,7.80,78,568235,78
Limitless,2011,7.40,59,525116,74
Rise of the Planet of the Apes,2011,7.60,68,494534,76
Source Code,2011,7.50,74,482714,75
Pirates of the Caribbean: On Stranger Tides,2011,6.60,45,479111,66
"Crazy, Stupid, Love.",2011,7.40,68,469994,74
The Hangover Part II,2011,6.50,44,462181,65
Mission: Impossible - Ghost Protocol,2011,7.40,73,455645,74
Warrior,2011,8.20,71,433974,82
The Help,2011,8.00,62,425977,80
Horrible Bosses,2011,6.90,57,420555,69
Sherlock Holmes: A Game of Shadows,2011,7.50,48,419239,75
The Girl with the Dragon Tattoo,2011,7.80,71,419227,78
Midnight in Paris,2011,7.70,81,386214,77
Transformers: Dark of the Moon,2011,6.20,42,383421,62
The Cabin in the Woods,2011,7.00,72,375160,70
In Time,2011,6.70,53,368653,67
Moneyball,2011,7.60,87,366877,76
Fast Five,2011,7.30,66,351214,73
Friends with Benefits,2011,6.50,63,338783,65
Super 8,2011,7.00,72,337619,70
50/50,2011,7.60,72,314651,76
Hugo,2011,7.50,83,303857,75
Real Steel,2011,7.10,56,297316,71
Contagion,2011,6.70,70,280316,67
Bridesmaids,2011,6.80,75,267085,68
Green Lantern,2011,5.50,39,265983,55
Kung Fu Panda 2,2011,7.20,67,252434,72
Unknown,2011,6.80,56,247213,68
The Adjustment Bureau,2011,7.00,60,243242,70
The Grey,2011,6.80,64,239861,68
Rango,2011,7.20,75,235319,72
Paul,2011,7.00,57,234258,70
The Descendants,2011,7.30,84,232107,73
The Artist,2011,7.90,89,229832,79
Sucker Punch,2011,6.00,33,229397,60
I Am Number Four,2011,6.10,36,226897,61
The Twilight Saga: Breaking Dawn - Part 1,2011,4.90,45,223091,49
Just Go with It,2011,6.40,33,220484,64
A Separation,2011,8.30,95,218522,83
Harry Potter and the Deathly Hallows: Part 2,2011,8.10,85,759015,81
The Intouchables,2011,8.50,57,753301,85
Thor,2011,7.00,57,742951,70
Captain America: The First Avenger,2011,6.90,66,735862,69
X: First Class,2011,7.70,65,643584,77
Drive,2011,7.80,78,568235,78
Limitless,2011,7.40,59,525116,74
Rise of the Planet of the Apes,2011,7.60,68,494534,76
Source Code,2011,7.50,74,482714,75
Pirates of the Caribbean: On Stranger Tides,2011,6.60,45,479111,66
"Crazy, Stupid, Love.",2011,7.40,68,469994,74
The Hangover Part II,2011,6.50,44,462181,65
Mission: Impossible - Ghost Protocol,2011,7.40,73,455645,74
Warrior,2011,8.20,71,433974,82
The Help,2011,8.00,62,425977,80
Horrible Bosses,2011,6.90,57,420555,69
Sherlock Holmes: A Game of Shadows,2011,7.50,48,419239,75
The Girl with the Dragon Tattoo,2011,7.80,71,419227,78
Midnight in Paris,2011,7.70,81,386214,77
Transformers: Dark of the Moon,2011,6.20,42,383421,62
The Cabin in the Woods,2011,7.00,72,375160,70
In Time,2011,6.70,53,368653,67
Moneyball,2011,7.60,87,366877,76
