Year,Month,Day,Temp high (°C),Temp avg (°C),Temp low (°C),Dew Point high (°C),Dew Point avg (°C),Dew Point low (°C),Humidity (%) high,Humidity (%) avg,Humidity (%) low,Sea Level Press. (hPa) high,Sea Level Press. (hPa) avg,Sea Level Press. (hPa) low,Visibility (km) high,Visibility (km) avg,Visibility (km) low,Wind (km/h) low,Wind (km/h) avg,Wind (km/h) high,Precip. (mm) sum,WeatherEvent
2015,Jan,1,4,1,-3,-8,-12,-14,46,37,27,1022,1018,1015,16,16,16,27,11,50,0,
2015,Jan,2,6,4,2,-7,-8,-9,52,43,33,1031,1023,1016,16,16,16,24,11,40,0,
2015,Jan,3,6,3,1,4,-2,-9,92,68,44,1036,1030,1019,16,7,1,19,10,29,18.03,"Rain , Snow"
2015,Jan,4,13,9,5,10,6,-3,93,88,83,1019,1012,1004,16,9,1,47,10,74,7.62,Rain
2015,Jan,5,9,2,-6,-3,-12,-19,49,38,26,1030,1020,1009,16,16,16,39,17,61,0,
2015,Jan,6,-6,-6,-7,-10,-13,-19,77,57,36,1030,1024,1016,16,9,0,23,7,39,1.27,Snow
2015,Jan,7,-5,-9,-13,-12,-17,-25,73,49,25,1025,1017,1013,16,16,14,35,20,63,0,
2015,Jan,8,-6,-9,-13,-17,-20,-24,55,48,41,1030,1027,1023,16,16,16,29,14,50,0,
2015,Jan,9,1,-3,-7,-8,-12,-17,81,57,33,1023,1018,1015,16,10,0,34,14,48,1.78,Snow
2015,Jan,10,-5,-7,-9,-17,-18,-20,47,41,34,1035,1031,1024,16,16,16,29,13,40,0,
2015,Jan,11,3,-2,-8,-10,-14,-18,47,38,29,1039,1036,1032,16,16,16,23,10,39,0,
2015,Jan,12,4,3,2,2,-1,-11,92,64,35,1032,1024,1020,16,8,1,19,6,32,9.14,Rain
2015,Jan,13,2,-3,-8,-1,-11,-17,82,61,39,1038,1033,1024,16,16,16,29,14,40,0,
2015,Jan,14,0,-4,-9,-7,-11,-17,63,56,49,1035,1029,1022,16,16,16,23,10,27,0,
2015,Jan,15,2,-1,-4,-7,-9,-11,69,55,41,1022,1018,1013,16,16,14,24,8,32,0,
2015,Jan,16,6,0,-7,-7,-11,-18,58,45,31,1024,1014,1009,16,15,5,34,16,52,0,
2015,Jan,17,0,-4,-8,-7,-15,-18,53,41,29,1029,1027,1024,16,16,16,23,10,37,0,
2015,Jan,18,6,3,-1,4,1,-6,92,77,61,1023,1012,1006,16,6,0,16,6,32,53.34,"Fog , Rain"
2015,Jan,19,6,4,2,0,-4,-7,82,62,41,1012,1009,1006,16,16,14,26,12,53,0,
2015,Jan,20,4,2,0,-4,-8,-13,59,47,35,1017,1013,1011,16,16,16,21,9,32,0,
2015,Jan,21,2,-1,-4,-9,-13,-16,50,38,26,1022,1020,1018,16,16,14,16,7,24,0,
2015,Jan,22,4,2,-1,-5,-7,-11,69,56,43,1027,1023,1021,16,11,2,23,9,34,0,
2015,Jan,23,4,1,-2,-4,-8,-11,59,50,40,1027,1023,1015,16,15,13,23,9,31,0,
2015,Jan,24,4,2,1,0,-1,-6,89,71,52,1015,1001,991,16,6,1,23,10,39,18.29,"Fog , Rain , Snow"
2015,Jan,25,6,3,-1,-3,-8,-14,69,48,27,1015,1008,999,16,16,14,27,10,48,0,
2015,Jan,26,-1,-3,-6,-6,-9,-16,88,61,34,1016,1012,1005,16,5,0,37,21,55,12.19,"Fog , Snow"
2015,Jan,27,-1,-4,-7,-7,-9,-15,84,66,47,1011,1006,1004,16,7,0,27,13,48,9.14,"Fog , Snow"
2015,Jan,28,1,-4,-9,-13,-17,-19,61,45,28,1025,1018,1011,16,16,16,26,12,39,0,
2015,Jan,29,2,-2,-7,-3,-11,-17,69,52,35,1027,1022,1015,16,14,3,23,6,32,0.51,Snow
2015,Jan,30,3,-2,-7,-2,-6,-16,85,63,40,1016,1013,1010,16,10,1,35,17,58,1.52,Snow
2015,Jan,31,-3,-7,-11,-15,-18,-21,53,41,29,1023,1020,1017,16,16,16,39,20,71,0,
2015,Feb,1,2,-2,-7,-2,-7,-14,85,66,47,1023,1020,1015,16,11,1,19,6,27,0.76,Snow
2015,Feb,2,1,-4,-10,-1,-4,-15,92,80,67,1016,1002,995,14,5,0,35,16,52,25.91,"Fog , Rain , Snow"
2015,Feb,3,-3,-7,-11,-11,-13,-16,70,60,50,1026,1023,1015,16,15,13,27,12,43,0,
