Year,Month,Day,Temp high (°C),Temp avg (°C),Temp low (°C),Dew Point high (°C),Dew Point avg (°C),Dew Point low (°C),Humidity (%) high,Humidity (%) avg,Humidity (%) low,Sea Level Press. (hPa) high,Sea Level Press. (hPa) avg,Sea Level Press. (hPa) low,Visibility (km) high,Visibility (km) avg,Visibility (km) low,Wind (km/h) low,Wind (km/h) avg,Wind (km/h) high,Precip. (mm) sum,WeatherEvent
2016,Jan,1,6,3,1,-3,-5,-9,59,52,44,1018,1017,1015,16,16,16,27,12,42,0,
2016,Jan,2,4,2,0,-7,-8,-9,52,46,40,1019,1016,1014,16,16,16,24,11,37,0,
2016,Jan,3,7,4,2,-5,-6,-7,56,47,37,1014,1011,1009,16,16,16,27,13,42,0,
2016,Jan,4,2,-4,-10,-5,-13,-18,59,44,28,1027,1017,1011,16,16,16,34,14,50,0,
2016,Jan,5,-2,-7,-12,-17,-19,-21,58,41,24,1037,1035,1031,16,16,16,32,8,48,0,
2016,Jan,6,5,1,-4,-13,-16,-18,50,35,19,1035,1033,1030,16,16,16,21,6,29,0,
2016,Jan,7,8,4,-1,-6,-12,-16,44,33,22,1029,1025,1023,16,16,16,11,4,-,0,
2016,Jan,8,8,4,-1,4,-2,-8,70,64,58,1023,1023,1022,16,16,16,23,7,34,0,
2016,Jan,9,8,7,4,6,3,0,83,77,70,1024,1021,1018,16,14,6,24,13,32,T,Rain
2016,Jan,10,15,10,4,13,8,-5,93,71,49,1016,1002,991,16,7,1,35,16,56,45.72,Rain
2016,Jan,11,4,1,-3,-7,-13,-17,49,37,25,1020,1013,1003,16,16,16,32,17,56,0,
2016,Jan,12,7,2,-4,-2,-9,-17,75,53,31,1019,1011,1004,16,16,16,35,10,56,T,
2016,Jan,13,-1,-3,-6,-14,-16,-17,52,42,31,1016,1014,1007,16,16,16,34,16,56,0,
2016,Jan,14,3,-1,-6,-6,-11,-17,55,47,39,1015,1014,1012,16,16,16,24,8,37,T,
2016,Jan,15,11,6,1,4,-1,-7,76,62,48,1014,1010,1000,16,15,11,19,8,29,T,
2016,Jan,16,11,8,6,5,3,-2,89,70,50,1008,1000,994,16,12,3,24,11,35,6.1,Rain
2016,Jan,17,6,2,-1,-2,-5,-8,85,66,47,1012,1008,1005,16,13,1,21,9,31,1.27,"Fog , Snow"
2016,Jan,18,-1,-4,-8,-4,-14,-19,78,53,27,1015,1010,1005,16,15,3,35,19,56,T,Snow
2016,Jan,19,-2,-6,-9,-12,-16,-18,53,42,31,1020,1017,1014,16,16,16,32,18,55,0,
2016,Jan,20,3,0,-3,-9,-9,-11,58,49,40,1023,1020,1018,16,16,16,23,9,35,0,
2016,Jan,21,2,-1,-3,-10,-12,-15,55,45,35,1024,1021,1018,16,16,16,24,10,37,0,
2016,Jan,22,-1,-3,-6,-8,-14,-16,47,41,34,1026,1023,1019,16,14,2,26,10,35,0.25,Snow
2016,Jan,23,-3,-3,-4,-4,-6,-9,92,78,63,1019,1008,1002,8,1,0,40,25,68,58.67,"Fog , Snow"
2016,Jan,24,2,-2,-7,-8,-12,-14,68,53,38,1019,1013,1007,16,14,4,27,9,45,T,Snow
2016,Jan,25,4,1,-2,-3,-8,-10,64,54,44,1026,1024,1020,16,15,13,14,5,27,0,
2016,Jan,26,9,6,3,-1,-2,-4,62,56,50,1022,1017,1013,16,16,14,26,10,47,0,
2016,Jan,27,8,5,1,0,-6,-9,58,45,31,1020,1017,1013,16,16,13,24,11,40,T,Rain
2016,Jan,28,6,3,0,-5,-7,-9,64,51,38,1020,1012,1005,16,16,16,23,7,35,0,
2016,Jan,29,5,2,-1,-3,-6,-9,59,50,40,1010,1002,998,16,15,11,27,13,52,0,
2016,Jan,30,4,1,-2,-6,-9,-10,58,46,34,1019,1016,1011,16,16,16,26,11,40,0,
2016,Jan,31,13,8,2,3,-2,-5,71,52,32,1015,1012,1009,16,16,16,23,8,35,0,
2016,Feb,1,15,11,7,4,1,-4,61,50,39,1019,1011,1007,16,16,8,23,9,34,0.25,Rain
