Year,Month,Day,Temp high (°C),Temp avg (°C),Temp low (°C),Dew Point high (°C),Dew Point avg (°C),Dew Point low (°C),Humidity (%) high,Humidity (%) avg,Humidity (%) low,Sea Level Press. (hPa) high,Sea Level Press. (hPa) avg,Sea Level Press. (hPa) low,Visibility (km) high,Visibility (km) avg,Visibility (km) low,Wind (km/h) low,Wind (km/h) avg,Wind (km/h) high,Precip. (mm) sum,WeatherEvent
2012,Jan,1,11,8,5,8,4,3,82,71,59,1020,1013,1005,16,16,10,24,10,35,1.27,Rain
2012,Jan,2,10,6,1,4,-7,-9,74,56,37,1010,1007,1005,16,16,16,40,17,52,0,
2012,Jan,3,1,-4,-9,-6,-13,-18,69,54,38,1021,1014,1009,16,16,16,32,17,48,0,
2012,Jan,4,-3,-7,-11,-11,-16,-19,61,47,32,1024,1020,1015,16,16,16,26,12,35,0,
2012,Jan,5,4,1,-3,-6,-8,-11,56,50,44,1015,1013,1010,16,16,16,26,10,35,0,
2012,Jan,6,12,7,2,-1,-3,-6,64,51,38,1014,1010,1007,16,16,13,23,11,35,0,
2012,Jan,7,17,12,8,3,-1,-3,53,43,33,1015,1009,1006,16,16,16,24,11,37,0,
2012,Jan,8,8,4,1,-3,-6,-9,53,48,43,1027,1022,1016,16,16,16,26,13,39,0,
2012,Jan,9,5,2,-1,-2,-7,-9,70,52,34,1027,1023,1015,16,16,16,23,6,32,0,
2012,Jan,10,8,4,1,-3,-4,-7,75,60,45,1016,1013,1011,16,15,10,23,12,29,0,
2012,Jan,11,9,6,3,3,-1,-4,70,58,45,1019,1016,1010,16,15,6,23,9,32,1.78,Rain
2012,Jan,12,7,6,5,7,6,4,100,93,86,1010,1001,997,16,6,2,48,15,64,35.05,Rain
2012,Jan,13,10,4,-2,8,-1,-12,100,73,46,1009,999,990,16,11,1,40,18,58,2.29,Rain
2012,Jan,14,0,-1,-3,-8,-9,-12,58,52,45,1019,1014,1010,16,16,16,27,14,40,T,
2012,Jan,15,-3,-6,-9,-12,-18,-21,54,42,30,1035,1031,1027,16,16,16,27,14,40,0,
2012,Jan,16,3,-3,-9,-1,-12,-18,75,57,39,1037,1031,1021,16,15,6,27,8,42,1.02,"Rain , Snow"
2012,Jan,17,12,7,2,8,3,-2,93,85,77,-,-,-,16,12,4,27,13,42,4.83,Rain
2012,Jan,18,12,4,-4,8,-8,-13,77,56,35,1022,1017,1013,16,16,16,35,17,56,0,
2012,Jan,19,3,-2,-7,-4,-10,-16,69,57,44,1025,1020,1014,16,16,16,26,11,39,0,
2012,Jan,20,2,-1,-4,-5,-12,-16,63,47,31,1026,1021,1014,16,16,16,29,12,39,0,
2012,Jan,21,-2,-3,-6,-5,-7,-12,88,67,46,1026,1020,1015,16,6,0,27,16,39,9.91,"Fog , Snow"
